,UNIQUEID,DISBURSED_AMOUNT,ASSET_COST,LTV,BRANCH_ID,SUPPLIER_ID,MANUFACTURER_ID,CURRENT_PINCODE_ID,DATE_OF_BIRTH,EMPLOYMENT_TYPE,DISBURSAL_DATE,STATE_ID,EMPLOYEE_CODE_ID,MOBILENO_AVL_FLAG,AADHAR_FLAG,PAN_FLAG,VOTERID_FLAG,DRIVING_FLAG,PASSPORT_FLAG,PERFORM_CNS_SCORE,PERFORM_CNS_SCORE_DESCRIPTION,PRI_NO_OF_ACCTS,PRI_ACTIVE_ACCTS,PRI_OVERDUE_ACCTS,PRI_CURRENT_BALANCE,PRI_SANCTIONED_AMOUNT,PRI_DISBURSED_AMOUNT,SEC_NO_OF_ACCTS,SEC_ACTIVE_ACCTS,SEC_OVERDUE_ACCTS,SEC_CURRENT_BALANCE,SEC_SANCTIONED_AMOUNT,SEC_DISBURSED_AMOUNT,PRIMARY_INSTAL_AMT,SEC_INSTAL_AMT,NEW_ACCTS_IN_LAST_SIX_MONTHS,DELINQUENT_ACCTS_IN_LAST_SIX_MONTHS,AVERAGE_ACCT_AGE,CREDIT_HISTORY_LENGTH,NO_OF_INQUIRIES,LOAN_DEFAULT
144078,620098,37439,77869,48.8,105,23683,86,1240,03-12-1995,Salaried,25-10-2018,6,1938,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
176522,449178,47000,67494,71.12,35,24075,49,4379,12-09-1978,Self employed,20-08-2018,8,2427,1,1,0,0,0,0,647,G-Low Risk,8,4,0,957714,1353000,1353000,0,0,0,0,0,0,3530,0,2,1,0yrs 6mon,1yrs 9mon,0,0
48576,438344,62593,72000,88.89,2,22031,86,1739,15-05-1995,Salaried,14-08-2018,4,648,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
49743,483043,45849,62309,75.43,18,14878,45,2721,07-03-1966,Self employed,31-08-2018,4,1696,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
223760,624195,61463,74416,84.66,5,17980,86,3363,02-07-1985,Salaried,26-10-2018,9,3263,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,30000,30000,30000,0,0,0,0,0,0,2349,0,1,0,0yrs 0mon,0yrs 0mon,1,1
1734,505813,46349,64338,74.61,63,18050,86,7091,20-09-1995,Salaried,14-09-2018,10,703,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
183502,482789,69923,84625,84.84,2,14716,86,1678,15-04-1962,Self employed,31-08-2018,4,2455,1,1,0,0,0,0,734,D-Very Low Risk,5,2,0,380140,370005,370005,0,0,0,0,0,0,13620,0,0,0,2yrs 6mon,7yrs 2mon,0,0
20119,555690,64169,77258,85.43,64,16461,86,3486,01-01-1987,Self employed,03-10-2018,9,1427,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
26930,529241,47849,74530,65.07,2,23192,86,2378,11-01-1997,Salaried,23-09-2018,4,826,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
174984,562876,66332,75500,90.0,2,14975,86,1716,16-02-1997,Salaried,08-10-2018,4,2388,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,1234,0,0,0,0yrs 6mon,0yrs 6mon,0,0
171258,459940,44349,66029,69.67,79,23373,45,730,07-04-1993,Self employed,23-08-2018,18,2307,1,1,0,0,0,0,733,D-Very Low Risk,3,2,0,494954,521510,521510,0,0,0,0,0,0,0,0,2,0,0yrs 10mon,2yrs 1mon,0,0
14508,528822,34329,46841,78.99,3,16092,51,90,01-05-1989,Self employed,22-09-2018,1,688,1,1,1,0,0,0,705,E-Low Risk,12,9,0,1659196,1937244,1937244,0,0,0,0,0,0,14186,0,5,0,1yrs 2mon,4yrs 8mon,0,0
212258,542362,36439,64729,58.71,3,17431,86,552,16-08-1975,Self employed,27-09-2018,15,2932,1,1,1,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0,0,0,3531,0,0,0,0yrs 6mon,0yrs 7mon,0,0
21106,602548,59973,79896,80.1,103,20286,86,6989,05-06-1991,Self employed,22-10-2018,7,713,1,1,0,0,0,0,542,J-High Risk,1,1,0,19953,74000,74000,0,0,0,0,0,0,0,0,0,0,4yrs 0mon,4yrs 0mon,0,0
85626,636538,45349,62905,74.72,34,15118,45,996,25-02-1979,Self employed,29-10-2018,6,737,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
78018,433607,56610,72500,79.92,2,14770,120,1655,31-03-1994,Self employed,11-08-2018,4,611,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
75774,508477,53803,73948,74.38,1,20538,120,4969,01-01-1986,Self employed,15-09-2018,3,1596,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,1,1
192117,436272,45849,58034,80.13,3,14112,45,34,01-05-1959,Salaried,13-08-2018,1,2806,1,1,0,0,0,0,757,C-Very Low Risk,2,2,0,165486,169599,169599,0,0,0,0,0,0,0,0,1,0,0yrs 3mon,0yrs 6mon,0,0
140115,431242,44589,66087,69.61,138,14178,86,3340,20-05-1971,Self employed,10-08-2018,9,1099,1,1,0,0,0,0,739,C-Very Low Risk,14,7,0,175180,482231,374102,0,0,0,0,0,0,5635,0,2,0,1yrs 4mon,3yrs 9mon,0,0
170113,502371,58259,70500,83.69,146,16445,86,2946,01-01-1971,,12-09-2018,14,2281,1,1,0,0,0,0,584,I-Medium Risk,1,0,1,0,0,0,6,2,0,14320,27200,27200,0,3285,0,0,1yrs 4mon,2yrs 0mon,0,0
161799,430910,50853,70390,74.23,15,14710,86,293,28-05-1982,Self employed,10-08-2018,11,2153,1,1,0,0,0,0,656,F-Low Risk,8,5,0,5972190,6828706,6828706,0,0,0,0,0,0,15866,0,0,0,2yrs 0mon,4yrs 11mon,0,0
178934,553421,66000,78370,86.13,13,21019,86,4651,13-11-1996,Self employed,30-09-2018,8,2407,1,1,0,0,0,0,554,J-High Risk,1,1,0,177028,146000,146000,0,0,0,0,0,0,0,0,0,0,2yrs 5mon,2yrs 5mon,0,0
94202,443352,69965,84000,85.12,2,14834,86,2378,16-04-1987,Salaried,17-08-2018,4,1423,1,1,0,0,0,0,627,H-Medium Risk,4,0,0,0,0,0,0,0,0,0,0,0,941,0,0,0,1yrs 1mon,1yrs 9mon,0,0
88058,439393,43135,73650,63.52,5,14723,51,3318,26-03-1994,Self employed,14-08-2018,9,1676,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
13887,627975,52178,73162,72.58,147,17223,86,2787,01-01-1980,Salaried,26-10-2018,2,1664,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
85248,574780,71417,108575,67.79,152,23831,51,6041,20-03-1992,Self employed,13-10-2018,3,731,1,1,0,0,0,0,670,F-Low Risk,2,1,0,0,40000,40000,0,0,0,0,0,0,0,0,0,0,5yrs 1mon,5yrs 10mon,0,0
31495,650600,53040,66965,82.86,9,18062,86,5383,19-06-1994,Self employed,31-10-2018,3,1575,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
223757,591127,63463,76511,84.96,5,17980,86,3363,19-08-1985,Self employed,20-10-2018,9,3263,1,1,0,0,0,0,421,K-High Risk,31,4,2,736273,778000,778000,0,0,0,0,0,0,1907,0,3,0,0yrs 5mon,2yrs 7mon,0,0
99207,458411,48145,70391,71.03,65,23854,86,6801,08-04-1991,Self employed,23-08-2018,13,1041,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
13737,439741,53659,62839,88.16,19,21579,45,1825,08-10-1983,Salaried,16-08-2018,4,568,1,1,0,0,0,0,517,K-High Risk,6,6,1,68636,177394,182278,0,0,0,0,0,0,0,0,0,1,1yrs 3mon,1yrs 10mon,0,0
102541,564410,51303,65850,78.97,64,23306,45,3547,05-06-1982,Self employed,09-10-2018,9,543,1,1,0,0,0,0,658,F-Low Risk,22,7,0,197883,248989,248989,0,0,0,0,0,0,0,0,4,0,0yrs 4mon,1yrs 3mon,0,1
154043,498537,72777,121654,61.37,254,21251,48,6744,11-04-1994,Self employed,10-09-2018,13,2048,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
10534,594123,43130,70550,65.77,8,14823,45,5232,01-01-1991,Salaried,21-10-2018,3,971,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
83724,483069,53863,70800,78.95,146,14142,45,3042,01-01-1981,Self employed,31-08-2018,17,903,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
15522,567267,34279,66794,53.15,18,13971,86,2718,25-03-1969,Self employed,10-10-2018,4,1504,1,1,0,0,0,0,611,H-Medium Risk,2,1,1,15530,21000,21000,0,0,0,0,0,0,10627,0,0,1,1yrs 0mon,1yrs 1mon,0,0
96208,596904,51303,78662,67.38,1,23771,45,5095,28-09-1999,,22-10-2018,3,136,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
97227,572545,39894,77311,53.03,42,23148,45,5134,02-03-1996,Self employed,12-10-2018,3,1206,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
229513,573766,77955,121876,64.72,36,24184,48,6777,19-03-1996,Self employed,13-10-2018,13,2961,1,0,1,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
165569,505060,55304,72045,78.49,43,15631,86,3957,23-03-1977,Self employed,14-09-2018,8,2254,1,1,0,0,0,0,318,L-Very High Risk,32,7,1,136020,217325,217325,0,0,0,0,0,0,240281,0,2,1,1yrs 1mon,2yrs 10mon,2,0
94643,483999,34699,70155,52.74,1,18068,86,6081,16-03-1989,Self employed,31-08-2018,3,910,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
228576,623930,65020,81948,82.89,255,23202,86,5829,01-01-1991,Self employed,26-10-2018,3,3539,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,30000,30000,30000,0,0,0,0,0,0,1970,0,1,0,0yrs 1mon,0yrs 1mon,3,0
61808,454935,52228,73313,73.66,16,21124,86,2943,01-01-1985,Salaried,22-08-2018,17,79,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
157310,614390,59647,77138,79.08,20,24767,51,6187,13-03-1986,Self employed,24-10-2018,5,3182,1,1,0,0,0,0,17,Not Scored: Not Enough Info available on the customer,1,1,0,45377,45000,45000,0,0,0,0,0,0,0,0,1,0,0yrs 2mon,0yrs 2mon,0,1
175120,640916,62713,109300,59.01,7,23062,51,5794,12-12-1993,Self employed,30-10-2018,3,2459,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,1,1
207931,557842,66382,96500,70.47,135,14690,86,1656,16-09-1991,Salaried,04-10-2018,4,3137,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
144693,558192,48478,67320,74.87,10,18471,48,5724,10-10-1996,Self employed,05-10-2018,3,1831,1,0,0,1,0,0,597,I-Medium Risk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2yrs 4mon,2yrs 4mon,0,1
112771,646000,37439,62807,62.09,3,13948,86,31,20-07-1971,Self employed,31-10-2018,1,94,1,1,1,0,0,0,774,B-Very Low Risk,4,3,0,5672,99000,99000,0,0,0,0,0,0,1945,0,0,0,2yrs 3mon,4yrs 5mon,0,0
142983,465602,54513,69464,81.34,146,18317,86,3000,01-01-1971,Salaried,26-08-2018,14,1193,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
100216,528049,50113,69835,77.33,103,18823,86,6980,19-02-1991,Self employed,22-09-2018,7,289,1,1,1,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,1727,0,0,0,0yrs 7mon,0yrs 7mon,0,0
218176,480780,47395,54570,89.33,153,24428,45,511,01-01-1981,Salaried,31-08-2018,11,3156,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
131617,650073,60713,77132,80.38,159,23137,86,7245,01-01-1992,Self employed,31-10-2018,7,1096,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
106608,457569,33861,59838,58.49,67,22727,45,1487,17-09-1971,Salaried,23-08-2018,6,1363,1,0,0,1,0,0,742,C-Very Low Risk,1,1,0,0,50000,50000,0,0,0,0,0,0,0,0,0,0,3yrs 9mon,3yrs 9mon,0,0
88906,445494,43394,63000,71.43,147,23503,49,2806,09-10-1986,Salaried,17-08-2018,2,247,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
233059,557763,68506,98179,72.0,36,22881,120,6552,01-01-1972,Self employed,04-10-2018,13,2824,1,0,0,1,0,0,738,C-Very Low Risk,9,3,0,103825,170000,170000,0,0,0,0,0,0,18510,0,0,0,1yrs 2mon,1yrs 10mon,0,1
142731,464082,57313,70769,84.22,36,18461,45,6610,01-01-1983,Self employed,25-08-2018,13,1864,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
64219,568620,68317,100600,70.58,152,15483,48,5021,23-04-1985,Self employed,11-10-2018,3,912,1,0,0,0,1,0,524,J-High Risk,14,7,1,104304,188997,188997,0,0,0,0,0,0,6635,0,2,1,1yrs 0mon,4yrs 3mon,0,0
177272,451796,54150,66500,82.71,146,15694,86,3031,01-01-1992,Self employed,21-08-2018,14,2362,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
70788,471425,45349,89240,52.67,36,18549,48,6616,01-01-1989,Self employed,29-08-2018,13,141,1,0,1,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
172988,626489,76151,124617,62.59,10,12500,48,5656,27-08-1987,Self employed,26-10-2018,3,2325,1,1,0,0,0,0,300,M-Very High Risk,1,1,1,28782,31980,31980,0,0,0,0,0,0,0,0,0,0,1yrs 0mon,1yrs 0mon,0,1
69838,441362,57459,67619,88.73,5,15663,86,3357,14-04-1973,Self employed,16-08-2018,9,763,1,1,0,0,0,0,668,F-Low Risk,8,7,0,20617,94326,94326,0,0,0,0,0,0,5226,0,2,0,0yrs 8mon,1yrs 8mon,0,0
115526,540512,48783,68426,74.53,103,23214,45,7266,01-01-1977,Self employed,27-09-2018,7,1859,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
90395,520585,55500,63700,88.7,15,23537,45,293,25-03-1993,Self employed,20-09-2018,11,205,1,1,0,0,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,53962,53962,53962,0,0,0,0,0,0,2059,0,1,0,0yrs 0mon,0yrs 0mon,3,0
52162,439112,23701,69222,35.83,67,22744,86,1499,01-01-1972,Self employed,14-08-2018,6,1598,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
80451,525400,53473,79000,69.2,2,14770,51,1631,01-11-1987,Salaried,21-09-2018,4,237,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,0,0yrs 6mon,0yrs 6mon,0,0
6640,605717,36439,82932,45.82,29,23200,49,5865,01-01-1973,Self employed,23-10-2018,3,1438,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
193371,470876,22324,54425,42.26,97,15777,45,1143,01-06-1996,Self employed,28-08-2018,6,2732,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
196727,521452,52703,72950,75.39,5,13942,51,3434,10-04-1993,Self employed,20-09-2018,9,3051,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
169700,523724,28744,62456,49.63,74,17436,48,2490,14-06-1987,Self employed,20-09-2018,4,2296,1,1,0,0,0,0,615,H-Medium Risk,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 4mon,2yrs 3mon,0,0
67537,425436,47145,66651,73.52,74,22928,86,2578,01-01-1981,Self employed,07-08-2018,4,286,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
1343,433192,57059,81991,73.18,20,18110,86,6279,25-04-1995,Self employed,11-08-2018,5,1296,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
85558,438606,42484,61788,73.64,160,17394,49,92,01-01-1982,Self employed,14-08-2018,16,1299,1,1,0,0,0,0,598,I-Medium Risk,21,10,2,1123748,1357637,1357637,1,0,0,0,0,0,23914,0,5,3,1yrs 4mon,15yrs 1mon,1,0
171752,522220,39394,67798,60.47,48,17906,86,6332,20-05-1996,Self employed,20-09-2018,5,2316,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
126917,579313,43449,56700,77.78,136,23469,51,3755,07-05-1971,Self employed,15-10-2018,8,946,1,1,0,0,0,0,738,C-Very Low Risk,3,2,0,98038,175000,175000,0,0,0,0,0,0,15365,0,0,0,1yrs 0mon,1yrs 8mon,0,0
81367,619377,54459,70435,79.79,34,16335,120,971,18-07-1980,Self employed,25-10-2018,6,991,1,0,0,0,0,1,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
96795,452237,22524,65216,38.33,5,18130,86,3398,19-11-1976,Salaried,21-08-2018,9,1182,1,1,0,0,0,0,561,J-High Risk,4,2,1,4322395,4696000,4696000,0,0,0,0,0,0,31497,0,0,0,2yrs 4mon,3yrs 7mon,0,0
186792,586363,56513,67690,84.95,14,24037,45,820,10-06-1989,Salaried,18-10-2018,15,2522,1,1,0,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,0yrs 8mon,0yrs 11mon,0,0
132383,427622,44649,62188,73.97,34,15196,86,1049,01-05-1989,Self employed,08-08-2018,6,1812,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
227625,626373,40794,51819,79.89,3,22724,51,570,11-01-1994,Salaried,26-10-2018,15,3683,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
163627,609265,43194,67900,65.98,135,15680,45,1706,01-07-1971,Self employed,23-10-2018,4,2179,1,1,0,0,0,0,570,J-High Risk,14,8,1,1399815,1982923,1982923,0,0,0,0,0,0,10404,0,3,0,1yrs 1mon,5yrs 7mon,2,0
118143,494341,35439,60457,61.2,68,18795,51,855,02-02-1993,Self employed,07-09-2018,6,739,1,1,0,0,0,0,714,D-Very Low Risk,2,2,0,924279,929350,929350,0,0,0,0,0,0,6857,0,0,0,0yrs 9mon,0yrs 10mon,0,0
172235,528502,58259,105391,56.93,120,21514,51,6921,05-01-1996,Self employed,22-09-2018,12,2337,1,0,0,1,0,0,15,Not Scored: Sufficient History Not Available,1,1,0,1500,1500,1500,0,0,0,0,0,0,0,0,1,0,0yrs 0mon,0yrs 0mon,1,1
110380,450036,31484,65396,50.46,152,14144,45,4960,01-05-1976,Self employed,20-08-2018,3,296,1,0,0,1,0,0,300,M-Very High Risk,3,1,1,244027,514000,514000,0,0,0,0,0,0,5158,0,0,0,5yrs 3mon,9yrs 4mon,0,0
32097,456713,45745,70584,67.44,120,18729,51,6927,01-01-1968,Self employed,22-08-2018,12,845,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
123220,605302,50303,108876,47.76,103,23556,49,7260,20-03-1994,Self employed,23-10-2018,7,756,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
71083,647006,57559,73830,81.27,138,22872,120,3332,15-10-1987,Self employed,31-10-2018,9,1226,1,1,1,0,0,0,16,Not Scored: No Activity seen on the customer (Inactive),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 1mon,0yrs 5mon,0,0
26252,467245,58513,71800,83.57,20,18703,86,6225,01-01-1995,Salaried,27-08-2018,5,1771,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
218831,470786,49303,60340,84.52,68,16609,45,854,01-01-1970,Self employed,28-08-2018,6,3085,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
124483,430400,61175,96228,65.71,254,23362,49,6766,31-07-1991,Self employed,10-08-2018,13,859,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
52591,635710,54445,75357,75.54,9,18062,86,5375,10-09-1982,Self employed,29-10-2018,3,1699,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
223104,595663,36439,66700,56.97,159,23360,45,7226,26-02-1971,Self employed,21-10-2018,7,3309,1,1,0,0,0,0,637,G-Low Risk,1,1,0,70279,65000,65000,1,1,0,848000,590000,590000,0,0,1,0,2yrs 11mon,5yrs 8mon,1,0
136424,467638,51223,110290,48.96,20,23329,48,6176,22-01-1964,Self employed,28-08-2018,5,1891,1,1,0,0,0,0,549,J-High Risk,9,5,0,72260,83200,83200,0,0,0,0,0,0,0,0,0,0,1yrs 0mon,1yrs 7mon,0,0
127531,513675,55200,63043,89.57,61,15919,45,1320,08-09-1994,Salaried,18-09-2018,6,1088,1,0,0,0,0,1,738,C-Very Low Risk,1,1,0,6196,12396,12396,0,0,0,0,0,0,1550,0,1,0,0yrs 4mon,0yrs 4mon,1,0
65979,433319,40000,89000,46.4,8,12878,48,5290,23-11-1986,Self employed,11-08-2018,3,1141,1,0,0,0,1,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
83941,593263,52478,60300,88.56,73,22853,45,272,01-01-1996,Salaried,21-10-2018,11,1098,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
138965,627948,48549,68363,73.14,138,15943,45,3363,12-08-1997,Salaried,26-10-2018,9,501,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
151249,565942,67882,106480,64.8,10,24651,51,5681,01-01-1993,Self employed,09-10-2018,3,2038,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
40580,490908,53453,68317,81.97,74,16646,86,2578,01-09-1972,Salaried,05-09-2018,4,1053,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
90535,455869,53813,64198,86.14,251,18449,86,6855,01-10-1970,Salaried,22-08-2018,13,490,1,0,0,1,0,0,553,J-High Risk,8,3,0,380529,543000,543000,0,0,0,0,0,0,16298,0,0,1,2yrs 1mon,3yrs 5mon,0,1
70651,576129,63737,77477,85.0,36,18039,45,6589,01-01-1985,Self employed,13-10-2018,13,141,1,0,0,1,0,0,562,J-High Risk,8,2,0,51165,120000,120000,0,0,0,0,0,0,26033,0,0,1,0yrs 9mon,1yrs 0mon,0,1
229119,587922,39394,79183,51.78,217,24571,86,7306,01-01-1996,Self employed,19-10-2018,7,3514,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
53784,653550,49278,81079,62.28,2,22764,86,1731,10-11-1956,Self employed,31-10-2018,4,1509,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
199728,578509,59259,71871,83.48,146,17921,86,2989,01-01-1985,Salaried,15-10-2018,14,2708,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,1
9193,583676,54159,65568,84.64,67,22727,45,1436,08-03-1963,Salaried,16-10-2018,6,1791,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
90506,545949,43794,70994,63.39,251,18449,86,6890,06-01-1991,Self employed,28-09-2018,13,490,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0,0
